b_1,d_1,nu_(12),b_2,d_2,nu_(21),N
0.221993171,0.206719155,0.009480306,0.870732306,0.918610908,0.016729684,10000
0.765907856,0.296800502,0.001450382,0.518417988,0.187721229,0.02998338,10000
0.628787909,0.599929197,0.003709982,0.57983781,0.265819118,0.003214966,10000
0.154162842,0.263315015,0.001069424,0.740049697,0.533739393,0.068785043,10000
0.550797903,0.290904739,0.06107928,0.708147823,0.510827605,0.062027771,1000
0.12558531,0.051467203,0.001147499,0.207242878,0.440809844,0.008197217,10000
0.544649018,0.306363532,0.005969563,0.780314765,0.221957884,0.074604891,10000
0.975995422,0.902834109,0.005701486,0.672383676,0.845750871,0.001529093,10000
0.305918916,0.111741276,0.068432089,0.304474359,0.249899014,0.003375155,10000
0.509715306,0.109446648,0.001919157,0.945038417,0.465093161,0.011931568,10000
